P0,P0
P1,P1
D19_P002,P2
P3,P3
P4,P4
P5,P5
D1_TX_P006,P6
P7,P7
D0_RX_P008,P8
D10_NFC1_P009,P9
D16_NFC2_P010,P10
D7_P011,P11
P12,P12
P13_POWER,P13
P14,P14
P15_BLED,P15
P16,P16
D2_P017,P17
P18,P18
P19,P19
D3_P020,P20
P21,P21
D4_P022,P22
P23,P23
D5_P024,P24
P25,P25
P26,P26
P27,P27
P28,P28
D20_P029,P29
P30,P30
D21_P031,P31
D6_P100,P32
P101,P33
P102,P34
P35,P35
D8_P104,P36
P37,P37
D9_P106,P38
P107,P39
P40,P40
P41,P41
P42,P42
D14_P111,P43
P44,P44
D15_P113,P45
P46,P46
D18_P115,P47
